architecture,params,inference_time_cpu,inference_time_gpu
8:32:64:16:64:32:64|d3r4:d3r4:c1x5:c1x3:c1x5:d3r4,771209,0.9557222604751587,0.038813114166259766
16:64:64:32:32:8:64|d3r2:id:d3r4,281369,0.17805280685424804,0.007026958465576172
16:64:32:32:64:32:8|id:id:d3r4:id:c1x1:c1x1,156329,0.5255887985229493,0.014408326148986817
8:32:32:8:64:16:32|id:d3r4:id:id:c1x5:d3r4,202841,0.5054964542388916,0.018786358833312988
8:64:32:8:32:8:64|c1x5:dw3x3:c1x1:c1x1:z:c1x1,127233,0.11920802593231201,0.010108661651611329
32:16:16:64:64:8:16|dw3x3:d3r4:c1x5:c1x1:id:c1x3,233545,0.47415971755981445,0.028818416595458984
8:32:32:16:64:64:64|id:c1x3:d3r2:d3r2:d3r4:z,513481,0.4495206356048584,0.025609469413757323
32:8:8:64:64:64:8|c1x1:c1x5:d3r4:z:c1x1:z,258185,0.3645180225372314,0.024250245094299315
32:64:64:32:16:16:32|id:c1x5:c1x5:d3r4:z:c1x5,501353,0.25638816356658933,0.02107853889465332
32:16:16:16:16:16:16|c1x5:c1x5:d3r4:z:c1x3:z,96617,0.1652890682220459,0.014766955375671386
16:64:8:32:16:32:8|c1x3:d3r2:dw3x3:c1x5:dw3x3:d3r4,225289,0.1732809066772461,0.015600061416625977
32:8:16:8:32:8:32|c1x3:d3r2:c1x3:c1x1:dw3x3:c1x1,83009,0.2650588512420654,0.015509557723999024
8:8:16:16:32:8:16|dw3x3:id:c1x1:c1x5:d3r4:z,43641,0.11659424304962158,0.006795406341552734
16:8:64:16:8:16:32|dw3x3:dw3x3:dw3x3:c1x1:d3r2:z,83505,0.08496606349945068,0.007743978500366211
16:8:32:16:32:16:32|dw3x3:id:c1x5:id:c1x3:d3r2,111825,0.14636058807373048,0.012330436706542968
8:32:16:16:16:64:8|id:c1x3:c1x3:d3r4:c1x3:c1x3,194729,0.16225125789642333,0.01513078212738037
64:64:64:32:64:32:64|d3r4:id:c1x1:d3r4:d3r4:d3r4,939417,0.8047690391540527,0.03658847808837891
64:32:16:32:16:32:16|c1x5:dw3x3:c1x1:c1x3:id:z,143649,0.4195335626602173,0.02496047019958496
8:16:32:8:32:8:8|d3r2:d3r2:c1x3:d3r2:z:z,70169,0.1113755464553833,0.007397270202636719
16:32:8:64:8:64:16|id:d3r2:dw3x3:c1x5:z:id,156849,0.19382781982421876,0.011392712593078613
16:16:16:16:8:8:32|id:id:dw3x3:d3r4:d3r2:c1x3,60913,0.176436448097229,0.011254382133483887
16:64:8:64:16:8:16|c1x1:id:z,9193,0.09559345245361328,0.0048501014709472655
16:32:8:32:64:16:64|d3r4:id:c1x5:c1x1:c1x5:d3r4,397321,1.1952375173568726,0.03008568286895752
32:64:8:16:8:32:32|d3r4:id:c1x1:c1x5:id:d3r4,224737,0.5007503032684326,0.014198207855224609
32:8:16:16:8:32:16|c1x1:c1x5:d3r2:z:dw3x3:c1x1,66017,0.32589590549468994,0.010992074012756347
32:64:16:16:64:32:32|c1x5:d3r2:z:d3r2:z:c1x1,344217,0.7177604913711548,0.026960206031799317
8:64:8:16:16:16:16|z:c1x1:c1x5,56713,0.07255260944366455,0.003641676902770996
8:8:8:8:16:16:64|dw3x3:c1x1:d3r2:z:c1x1:c1x3,86393,0.10136160850524903,0.006847953796386719
32:8:64:64:8:16:64|id:id:c1x1:c1x3:z:z,122465,0.12402639389038086,0.007450699806213379
16:64:16:8:64:32:16|id:c1x1:d3r4:d3r2:id:c1x1,193881,0.33332622051239014,0.016588592529296876
8:32:8:16:64:64:32|dw3x3:d3r2:dw3x3:c1x3:z:dw3x3,194225,0.432424521446228,0.026942968368530273
16:32:8:8:64:64:8|c1x3:c1x3:c1x3:d3r4:c1x3:id,309225,0.5655638694763183,0.039738702774047854
8:32:32:32:8:64:16|c1x3:d3r2:z:d3r2:dw3x3:z,181793,0.14869794845581055,0.009740281105041503
8:16:16:32:16:32:32|d3r4:id:c1x1:c1x1:d3r2:d3r2,126873,0.0950556755065918,0.007201862335205078
32:64:8:16:8:8:16|c1x5:dw3x3:dw3x3,65657,0.11523547172546386,0.009169650077819825
32:32:16:16:64:64:64|c1x3:z:c1x3:dw3x3:id:id,205009,0.4486452341079712,0.026353788375854493
64:32:64:16:8:8:64|c1x1:z:c1x3:id:c1x1:c1x1,136417,0.3147757053375244,0.01701521873474121
32:64:32:8:32:8:64|c1x3:c1x1:c1x3:d3r2:dw3x3:d3r2,345705,0.3471159219741821,0.02111339569091797
16:32:64:64:32:32:32|c1x1:d3r2:c1x3:z:z:dw3x3,237737,0.22051355838775635,0.011816930770874024
32:32:64:32:16:32:64|c1x1:dw3x3:z:dw3x3:c1x1:dw3x3,84265,0.3129526138305664,0.012041640281677247
16:32:64:16:16:64:8|d3r4:dw3x3:c1x3:z:dw3x3:z,159345,0.395964527130127,0.012658071517944337
32:64:32:32:16:32:16|c1x1:d3r4:dw3x3:z:dw3x3:d3r4,201961,0.5104249954223633,0.013429737091064453
16:8:8:8:8:16:32|d3r4:id:id:dw3x3:d3r2:c1x1,39521,0.16084675788879393,0.008317923545837403
32:32:16:16:32:32:16|c1x3:d3r2:c1x3:d3r2:c1x3:id,204921,0.6345555067062378,0.020866894721984865
64:8:8:32:32:32:8|d3r2:dw3x3:d3r2:c1x5:c1x5:c1x1,267945,1.012455987930298,0.03802633285522461
8:64:32:8:16:16:64|d3r2:c1x1:id:d3r4:z:id,150921,0.09182600975036621,0.004704952239990234
64:64:64:64:32:8:8|id:dw3x3:dw3x3:c1x5:c1x3:c1x3,432257,0.5555729389190673,0.03876252174377441
16:8:64:16:8:8:8|d3r2:c1x3:c1x1:c1x1:c1x3:d3r4,130337,0.10144321918487549,0.006994271278381347
64:8:8:8:16:64:8|c1x1:dw3x3:z:d3r2:c1x5:dw3x3,149649,0.4350552797317505,0.03072013854980469
32:8:16:8:32:8:64|id:id:d3r4:c1x3:z:dw3x3,109473,0.19020285606384277,0.012229537963867188
64:16:16:8:16:64:32|d3r2:d3r2:d3r4:d3r2:id:z,303081,0.34056332111358645,0.02594301700592041
8:16:32:64:8:8:8|d3r4:d3r2:c1x3,104161,0.036684393882751465,0.003675508499145508
32:32:64:32:32:64:32|c1x1:d3r2:c1x1:c1x3:id:c1x1,273145,0.27417902946472167,0.01703472137451172
16:16:64:32:16:32:16|c1x3:c1x5:c1x5:id:z:d3r2,256105,0.11733205318450927,0.011176228523254395
32:16:32:8:16:16:8|id:c1x3:z:c1x3:d3r4:c1x3,84777,0.17419035434722902,0.012877345085144043
8:32:32:32:8:16:64|c1x3:id:d3r2:dw3x3:id:c1x3,175465,0.08980560302734375,0.006473922729492187
16:16:8:64:32:16:64|id:z:d3r2:c1x3:c1x1:z,162937,0.09837093353271484,0.008988738059997559
32:32:8:16:32:8:64|d3r4:dw3x3:c1x5:c1x3:dw3x3:d3r4,249001,0.40891146659851074,0.02226712703704834
16:32:8:64:16:16:8|d3r4:c1x1:c1x5:c1x1:id:z,96361,0.2297762393951416,0.011274313926696778
64:8:8:16:16:16:16|d3r4:id:c1x3:id:z:z,68233,0.5873152732849121,0.016240692138671874
64:8:8:64:16:16:64|c1x3:d3r4:c1x1:dw3x3:c1x1:dw3x3,198321,0.8761563062667846,0.025560617446899414
64:16:32:8:8:16:32|dw3x3:c1x3:c1x5:z:c1x3:z,154017,0.9117461919784546,0.027248954772949217
32:64:64:32:64:16:32|c1x5:z:d3r2:id:id:z,313273,0.3613229513168335,0.020917296409606934
8:64:64:64:32:64:32|d3r2:dw3x3:d3r2,385633,0.14685049057006835,0.009878849983215332
16:32:8:8:32:64:8|c1x5:c1x1:dw3x3:d3r4:c1x1:d3r4,202577,0.23743741512298583,0.017714595794677733
8:32:8:32:16:8:16|c1x1:c1x5:c1x5:c1x3:dw3x3:c1x1,77393,0.08253245353698731,0.008276867866516113
8:8:8:8:16:64:32|d3r2:id:c1x5:dw3x3:c1x1:d3r4,164937,0.15952713489532472,0.012311053276062012
16:16:16:8:16:32:16|c1x1:dw3x3:dw3x3:d3r2:c1x1:id,40945,0.09835319519042969,0.007551407814025879
8:16:16:32:64:16:64|c1x5:z:d3r4:d3r4:c1x3:id,299577,0.3453256845474243,0.02494032382965088
16:8:8:64:8:32:16|c1x3:dw3x3:c1x5:z:c1x3:c1x1,133209,0.11037755012512207,0.00858924388885498
16:8:32:8:16:16:64|c1x3:id:c1x3:d3r4:c1x3:c1x1,163817,0.13597550392150878,0.010792398452758789
8:32:16:64:16:32:64|d3r2:dw3x3:c1x1:id:d3r4:d3r2,327953,0.1933870792388916,0.010272812843322755
16:32:32:64:8:8:16|dw3x3:c1x3:c1x5:dw3x3:id:z,124129,0.15549356937408448,0.009386229515075683
16:16:8:64:16:8:32|d3r4:c1x5:c1x1:d3r4:id:d3r2,186473,0.2680835723876953,0.010338592529296874
64:64:64:32:16:32:16|d3r2:z:d3r4:dw3x3:c1x5:z,453185,0.9957696676254273,0.02781689167022705
8:64:64:16:16:8:64|c1x3:c1x1:c1x5:c1x1:c1x1:d3r2,361769,0.29318263530731203,0.011812186241149903
32:32:8:32:16:8:8|c1x5:d3r4:d3r2:d3r2:z:d3r2,153353,0.40303807258605956,0.013884902000427246
16:8:32:64:16:8:8|id:d3r4:z:d3r2:c1x5:id,132521,0.18242335319519043,0.0076073408126831055
16:64:64:8:64:32:16|d3r4:c1x5:z:dw3x3:c1x3:d3r4,472937,0.49780275821685793,0.03234939575195313
64:64:8:16:16:16:8|id:id:d3r2:c1x3:d3r4:z,223657,0.4264256238937378,0.02046651840209961
64:16:64:64:8:16:8|dw3x3:d3r2:c1x5:d3r4:d3r2:id,417441,0.4024534225463867,0.028594303131103515
64:8:8:8:16:16:64|d3r4:dw3x3:z:d3r2:dw3x3:id,101985,0.3281910181045532,0.02023468017578125
16:16:8:32:32:16:64|dw3x3:d3r4:id:c1x5:c1x1:d3r4,193249,0.16708531379699706,0.013538932800292969
32:8:64:16:16:64:16|d3r2:z:dw3x3:d3r4:dw3x3:dw3x3,153441,0.4589184045791626,0.015983319282531737
32:16:16:16:32:32:64|dw3x3:c1x3:z:d3r4:c1x5:c1x5,291377,0.7775988340377807,0.023703837394714357
16:64:16:64:32:16:32|c1x3:c1x1:d3r2:dw3x3:c1x5:c1x1,301553,0.5116416931152343,0.017293477058410646
