arch_str,train_loss,iteration,num_parameters
64:64:16:64:16:32:32|dw3x3:d3r2:c1x5:dw3x3:d3r2:dw3x3:d3r4:c1x3:c1x1:dw3x3,0.9997143149375916,70,712057
16:32:8:64:64:64:16|c1x5:d3r4:z:d3r2:c1x3:dw3x3:d3r4:dw3x3:dw3x3:c1x1,0.999779999256134,71,565473
32:8:32:32:16:64:16|id:d3r2:d3r4:c1x5:z:d3r2:id:c1x1:c1x5:d3r4,0.9996930360794067,72,428857
64:16:32:16:16:16:16|c1x3:c1x5:z:dw3x3:d3r2:id:c1x1:d3r4:dw3x3:d3r4,0.9996911883354187,73,289329
16:64:32:64:32:16:64|d3r4:dw3x3:z:d3r2:d3r4:c1x5:dw3x3:c1x5:c1x3:d3r2,0.9996263980865479,74,956393
64:64:16:64:8:32:32|z:c1x3:d3r4:c1x1:id:d3r2:dw3x3:id:c1x3:c1x5,0.9996823668479919,75,484601
16:32:8:8:32:8:16|d3r2:z:c1x5:dw3x3:id:dw3x3:id:dw3x3:c1x1:d3r2,0.9998044371604919,76,91841
64:64:32:64:64:8:8|c1x3:dw3x3:c1x3:dw3x3:c1x3:id:c1x1:c1x1:c1x5:d3r4,0.9998050332069397,77,717097
64:32:8:64:16:32:16|z:d3r2:id:z:z:z:c1x5:z:dw3x3:c1x1,0.9997039437294006,78,174673
8:32:16:64:64:16:64|dw3x3:c1x3:d3r4:dw3x3:d3r4:dw3x3:d3r4:c1x1:d3r4:c1x3,0.999745786190033,79,682033
32:32:8:32:16:32:8|c1x5:d3r4:z:d3r4:d3r4:c1x1:c1x3:id:z:z,0.9996653199195862,80,198121
32:32:8:8:16:16:16|c1x5:id:id:c1x5:id:c1x5:c1x1:c1x5:c1x5:c1x1,0.9997594356536865,81,163241
64:64:16:32:8:16:64|z:dw3x3:c1x5:dw3x3:id:id:z:c1x1:z:z,0.9997404217720032,82,32305
16:8:32:8:16:8:16|d3r2:z:dw3x3:d3r2:c1x5:c1x1:z:id:id:z,0.9997256398200989,83,61809
16:16:16:16:16:64:64|d3r2:z:c1x5:z:dw3x3:z:z:z:c1x1:dw3x3,0.9997606873512268,84,213577
32:32:64:16:64:8:64|d3r4:c1x3:c1x5:dw3x3:d3r2:id:d3r4:c1x5:c1x3:id,0.9996237754821777,85,848569
8:8:32:64:64:16:32|dw3x3:d3r2:c1x1:c1x1:c1x3:dw3x3:c1x3:dw3x3:d3r4:c1x5,0.9997631907463074,86,448817
64:8:64:16:64:8:8|c1x1:z:z:c1x5:dw3x3:d3r4:d3r4:z:dw3x3:c1x1,0.9996301531791687,87,213217
32:64:8:32:8:16:64|id:d3r4:dw3x3:id:d3r2:c1x5:c1x3:d3r2:c1x5:c1x5,0.9995985627174377,88,672833
16:16:16:8:32:32:64|c1x5:d3r2:id:c1x3:d3r4:d3r2:z:c1x3:c1x5:d3r2,0.9997665286064148,89,469113
32:32:8:8:8:64:16|dw3x3:d3r2:dw3x3:d3r2:id:c1x3:d3r4:c1x1:d3r2:dw3x3,0.9997259378433228,90,286785
64:16:32:16:64:16:64|c1x5:d3r4:d3r2:c1x3:id:d3r4:d3r2:c1x1:d3r4:dw3x3,0.9996466040611267,91,842377
32:32:32:32:64:16:8|d3r2:c1x3:d3r4:id:id:id:c1x1:d3r2:z:c1x3,0.999760091304779,92,336089
16:32:16:16:8:8:64|id:c1x5:d3r2:c1x3:d3r2:d3r2:c1x3:c1x3:d3r2:d3r2,0.9994903802871704,93,429985
8:16:64:32:8:8:64|c1x3:c1x1:d3r4:c1x1:c1x1:id:dw3x3:c1x3:d3r4:c1x5,0.999774694442749,94,435777
64:64:8:16:32:64:16|z:id:d3r2:c1x1:c1x3:c1x1:z:c1x5:z:z,0.9997404217720032,95,40665
32:16:16:8:32:8:8|c1x1:c1x1:z:c1x5:c1x1:d3r2:z:d3r4:d3r4:c1x5,0.9998305439949036,96,140569
8:64:32:64:8:64:8|c1x3:z:z:c1x1:dw3x3:d3r2:d3r4:id:c1x1:c1x5,0.9996562600135803,97,332969
32:32:8:64:16:32:64|c1x3:id:dw3x3:id:d3r4:d3r2:z:dw3x3:c1x1:dw3x3,0.9997866749763489,98,352081
64:16:32:16:64:32:64|dw3x3:d3r4:d3r4:c1x5:dw3x3:d3r4:z:d3r4:c1x1:id,0.9997714161872864,99,730897
32:16:16:8:32:16:16|z:c1x1:d3r2:id:id:c1x5:d3r4:d3r4:z:dw3x3,0.9997247457504272,100,76369
8:16:8:32:32:32:16|id:dw3x3:dw3x3:d3r2:id:dw3x3:dw3x3:id:c1x3:c1x1,0.9997366070747375,101,82313
64:64:16:64:16:64:64|d3r2:c1x1:c1x3:c1x3:dw3x3:dw3x3:dw3x3:d3r2:id:dw3x3,0.9997820854187012,102,770801
16:32:64:32:64:64:8|dw3x3:d3r4:id:c1x3:c1x1:c1x3:z:c1x5:d3r4:c1x3,0.9996917247772217,103,694249
16:32:16:32:8:64:16|id:d3r4:id:c1x5:d3r4:c1x5:dw3x3:dw3x3:c1x1:c1x5,0.9996240139007568,104,357473
16:8:8:32:16:16:64|dw3x3:d3r2:d3r4:c1x1:d3r4:c1x3:id:d3r4:c1x1:c1x5,0.9996349215507507,105,327521
32:32:32:32:32:32:8|d3r4:dw3x3:d3r4:c1x1:d3r2:dw3x3:d3r2:id:c1x5:d3r2,0.9997316002845764,106,387633
8:64:16:32:64:64:32|dw3x3:id:id:c1x3:z:c1x1:dw3x3:d3r2:c1x3:c1x1,0.9998228549957275,107,390265
32:16:8:64:32:64:16|z:c1x5:c1x3:c1x5:d3r4:c1x1:c1x3:c1x1:d3r4:dw3x3,0.9996197819709778,108,365809
64:32:64:64:64:8:8|z:c1x5:c1x5:z:d3r4:c1x1:id:id:z:dw3x3,0.9996465444564819,109,211913
64:16:64:64:8:64:8|d3r4:id:c1x1:d3r4:c1x3:c1x3:c1x5:dw3x3:c1x1:d3r2,0.999782145023346,110,737537
16:8:16:64:32:64:32|d3r2:d3r2:d3r4:c1x1:z:d3r2:d3r2:dw3x3:c1x3:z,0.9996771812438965,111,531249
16:64:8:32:64:32:32|dw3x3:dw3x3:d3r2:id:id:d3r4:z:c1x5:c1x3:d3r2,0.9996697902679443,112,535801
32:16:16:64:64:16:16|z:c1x1:c1x3:z:c1x5:id:d3r2:c1x3:c1x5:d3r2,0.9996999502182007,113,266073
16:64:64:64:64:64:8|id:dw3x3:z:d3r4:d3r4:id:d3r2:c1x5:c1x1:d3r4,0.9995520114898682,114,1006473
8:8:32:64:32:64:16|d3r2:c1x3:d3r4:c1x1:z:c1x3:d3r2:id:z:id,0.9995532035827637,115,366713
32:16:32:32:64:8:64|d3r2:id:dw3x3:id:z:d3r2:c1x3:d3r2:z:d3r2,0.9995602369308472,116,489121
8:32:32:32:16:32:64|dw3x3:c1x1:d3r4:c1x5:id:c1x5:d3r2:d3r2:d3r2:c1x3,0.9996727108955383,117,579201
16:16:16:8:8:64:8|c1x5:c1x5:d3r2:d3r4:dw3x3:d3r2:d3r2:id:dw3x3:c1x5,0.999770998954773,118,295857
16:32:32:64:16:32:64|c1x3:id:c1x3:d3r2:dw3x3:z:dw3x3:c1x3:id:id,0.9997098445892334,119,389105
8:8:32:16:16:16:16|c1x3:c1x3:z:d3r2:z:c1x3:id:d3r4:d3r2:c1x1,0.9997364282608032,120,108585
32:8:64:16:64:64:32|c1x3:id:z:d3r4:d3r4:c1x1:d3r2:dw3x3:c1x1:c1x5,0.9997544884681702,121,667537
16:32:8:8:32:32:32|c1x3:c1x3:dw3x3:c1x3:d3r4:d3r4:c1x1:c1x3:c1x3:dw3x3,0.9997211694717407,122,242041
8:32:16:64:32:64:8|d3r2:d3r2:dw3x3:d3r2:dw3x3:c1x1:d3r2:z:c1x1:d3r2,0.9995332956314087,123,411257
8:32:32:8:8:8:8|c1x3:c1x3:z:d3r4:c1x5:c1x3:c1x5:c1x1:z:c1x1,0.9996802806854248,124,118833
8:32:32:32:16:16:64|c1x5:dw3x3:d3r2:id:d3r2:d3r2:c1x1:c1x3:d3r2:z,0.999772310256958,125,431313
64:64:32:16:32:64:8|c1x1:c1x1:id:d3r4:dw3x3:id:d3r2:c1x5:c1x5:c1x1,0.9994996190071106,126,655793
64:16:8:16:8:64:32|c1x5:d3r4:c1x3:c1x5:c1x1:c1x3:c1x3:z:c1x3:d3r4,0.9997338056564331,127,556865
32:64:32:64:16:8:16|z:d3r2:c1x5:d3r4:dw3x3:z:c1x1:dw3x3:z:c1x1,0.9997873902320862,128,187881
16:16:32:64:64:32:8|c1x5:d3r4:c1x1:c1x1:dw3x3:c1x1:c1x5:c1x1:dw3x3:id,0.9996222257614136,129,322713
16:16:8:32:8:32:16|c1x3:z:z:c1x5:dw3x3:d3r2:d3r4:dw3x3:c1x1:c1x1,0.999612033367157,130,84705
32:8:16:8:32:16:8|d3r4:c1x1:dw3x3:id:d3r2:d3r2:z:d3r2:z:dw3x3,0.9996906518936157,131,113785
64:16:64:64:16:16:8|d3r2:c1x5:id:c1x1:z:c1x1:z:dw3x3:id:c1x5,0.9997186660766602,132,369505
16:64:8:8:32:16:16|dw3x3:c1x5:c1x1:dw3x3:d3r4:z:d3r4:id:id:d3r4,0.9996920228004456,133,219705
16:16:64:16:32:16:64|id:c1x1:c1x1:d3r4:d3r4:d3r4:c1x5:z:c1x3:d3r4,0.999652624130249,134,560377
64:16:16:64:32:64:16|id:dw3x3:id:d3r4:dw3x3:z:z:d3r2:c1x5:id,0.9997863173484802,135,402913
16:8:16:8:32:32:8|z:c1x3:id:dw3x3:c1x1:dw3x3:z:dw3x3:d3r2:z,0.9997765421867371,136,50409
64:8:8:32:8:8:64|c1x5:z:d3r4:d3r4:id:c1x5:z:c1x3:dw3x3:z,0.9998167753219604,137,369697
8:16:64:8:8:32:16|c1x1:id:c1x3:c1x1:z:d3r2:c1x1:c1x5:dw3x3:c1x3,0.9998082518577576,138,206985
32:16:8:32:32:64:8|id:c1x3:d3r2:d3r4:dw3x3:d3r4:d3r4:c1x1:d3r2:c1x3,0.9996050000190735,139,426809
16:16:16:32:32:8:16|id:id:c1x3:z:dw3x3:c1x1:d3r2:c1x3:d3r2:c1x1,0.9996017813682556,140,110417
8:8:32:64:8:8:8|c1x1:d3r4:c1x5:id:z:c1x5:c1x3:c1x3:d3r4:d3r2,0.9996786117553711,141,307297
64:32:8:8:32:64:32|d3r4:dw3x3:c1x5:c1x3:id:c1x5:c1x5:z:id:dw3x3,0.9997172355651855,142,549321
64:8:8:16:8:8:64|c1x3:d3r2:c1x5:d3r4:d3r2:id:d3r4:z:z:c1x3,0.9994832873344421,143,364449
64:32:32:32:64:8:8|dw3x3:c1x5:d3r2:dw3x3:dw3x3:c1x5:d3r2:c1x5:dw3x3:c1x3,0.999506950378418,144,656041
16:8:64:8:64:32:8|c1x3:c1x1:dw3x3:c1x1:c1x5:dw3x3:c1x1:id:d3r2:d3r2,0.9998171925544739,145,359705
64:32:32:16:16:32:16|id:id:d3r2:d3r2:d3r2:d3r4:d3r2:c1x5:c1x1:id,0.9997459053993225,146,461673
8:8:8:32:16:64:8|dw3x3:c1x1:d3r4:d3r2:dw3x3:c1x3:dw3x3:d3r2:z:c1x5,0.9997133612632751,147,239897
64:8:8:64:64:16:16|d3r4:d3r2:c1x3:dw3x3:z:z:c1x1:dw3x3:c1x5:c1x5,0.99983811378479,148,524145
16:32:16:8:64:16:64|z:dw3x3:d3r2:d3r2:id:d3r4:c1x1:c1x5:id:id,0.9997386932373047,149,164729
8:64:32:64:8:8:8|c1x5:c1x1:dw3x3:d3r2:dw3x3:d3r2:c1x5:c1x3:d3r4:c1x5,0.999727189540863,150,567521
8:32:16:64:64:64:64|c1x1:d3r2:z:z:d3r4:id:c1x3:d3r2:d3r4:c1x1,0.9997407793998718,151,785177
32:16:64:64:64:16:32|c1x1:z:c1x5:c1x5:c1x1:id:d3r4:z:c1x1:dw3x3,0.9995543360710144,152,482553
16:8:32:8:8:64:64|dw3x3:z:c1x1:id:d3r2:c1x1:c1x5:z:id:d3r2,0.9997702240943909,153,306833
64:64:8:64:32:16:64|d3r2:c1x1:d3r4:c1x1:c1x1:c1x5:c1x1:c1x3:id:d3r2,0.9997702240943909,154,805641
8:8:64:32:64:32:64|dw3x3:c1x5:z:d3r2:d3r4:z:d3r2:d3r2:c1x3:d3r2,0.9996081590652466,155,886593
16:64:64:16:64:8:8|c1x3:dw3x3:c1x1:c1x1:d3r2:c1x5:c1x5:z:dw3x3:id,0.999617874622345,156,475697
64:64:64:8:64:32:16|dw3x3:id:z:c1x5:c1x5:z:c1x1:z:d3r4:dw3x3,0.9998144507408142,157,599569
32:64:8:16:32:32:8|d3r2:c1x3:dw3x3:d3r2:d3r4:dw3x3:d3r4:c1x3:c1x3:c1x5,0.9995693564414978,158,505465
32:16:64:8:8:8:8|id:z:z:id:d3r4:c1x1:d3r2:c1x1:c1x3:id,0.9996247291564941,159,94593
8:16:8:64:8:16:32|dw3x3:id:id:dw3x3:d3r2:d3r4:id:id:c1x5:id,0.999783456325531,160,184561
8:64:32:16:8:8:16|c1x1:dw3x3:id:dw3x3:c1x3:id:dw3x3:c1x5:c1x5:dw3x3,0.9997642040252686,161,187657
8:64:32:16:64:8:32|id:d3r4:dw3x3:d3r2:z:d3r2:c1x5:dw3x3:c1x5:c1x5,0.9996922612190247,162,546649
16:8:64:32:16:32:32|d3r2:d3r2:dw3x3:d3r2:d3r4:c1x1:d3r2:c1x1:d3r4:c1x1,0.9996210336685181,163,461969
8:32:16:8:8:16:8|c1x1:c1x1:d3r2:c1x3:dw3x3:d3r4:c1x3:c1x3:dw3x3:id,0.9997676610946655,164,77345
8:32:64:32:32:32:64|id:id:dw3x3:d3r4:id:d3r4:z:dw3x3:d3r4:c1x3,0.9997231364250183,165,493625
32:32:16:16:8:64:8|d3r2:c1x5:d3r4:d3r2:d3r2:c1x1:z:dw3x3:z:z,0.999749481678009,166,303633
16:8:16:64:8:16:8|c1x3:c1x5:z:dw3x3:d3r2:dw3x3:c1x5:d3r2:dw3x3:z,0.9996206164360046,167,209809
64:16:64:16:64:64:8|c1x5:z:z:dw3x3:dw3x3:id:c1x3:d3r2:c1x5:id,0.9996042251586914,168,441265
32:16:64:32:16:64:16|z:c1x5:c1x3:z:d3r2:c1x3:dw3x3:c1x1:id:z,0.9997090101242065,169,180449
64:64:16:32:32:8:16|c1x3:id:dw3x3:z:d3r2:dw3x3:d3r2:id:id:c1x3,0.9997678399085999,170,348361
64:32:64:8:32:32:16|c1x3:id:d3r2:c1x3:dw3x3:z:id:c1x5:d3r2:dw3x3,0.9997614622116089,171,513609
8:32:64:64:8:64:64|c1x1:c1x3:d3r4:c1x1:c1x3:c1x5:c1x1:d3r2:d3r2:dw3x3,0.9998592138290405,172,963185
8:16:32:32:32:32:16|dw3x3:id:c1x3:d3r4:z:dw3x3:z:c1x1:z:c1x5,0.9997124671936035,173,143721
16:32:16:8:8:32:32|d3r4:c1x5:d3r4:z:dw3x3:id:z:dw3x3:dw3x3:id,0.9997526407241821,174,131825
32:16:8:8:32:64:32|id:z:c1x1:id:c1x1:c1x1:c1x1:c1x3:c1x1:id,0.9997581839561462,175,101049
8:32:8:32:16:8:16|id:id:c1x3:d3r2:dw3x3:id:c1x1:c1x3:c1x1:id,0.9998283982276917,176,66337
64:32:16:8:32:32:16|dw3x3:z:c1x3:z:c1x5:c1x5:d3r4:d3r4:c1x1:id,0.9995394945144653,177,367417
